time;;thermos;glass ;pp;steel;styrofoam;;;;thermos +;glass ;pp;steel;styrofoam;;diff;thermos;glass;pp;steel;styrofoam
0;;67,4;68,6;68,8;68,6;68,6;;;;69,8;69,2;69,2;69;69,3;;;2,4;0,6;0,4;0,4;0,7
1;;66,9;35,3;46,1;25,4;55,1;;;;69,5;35,6;46,8;25;55,3;;;2,6;0,3;0,7;-0,4;0,2
2;;66,1;23,2;29,3;20,3;44,4;;;;69,2;24;29,5;19,9;47,1;;;3,1;0,8;0,2;-0,4;2,7
3;;65,5;20;20,9;20,1;32,1;;;;68,8;20,4;20,5;20,1;34;;;3,3;0,4;-0,4;0;1,9
4;;64,5;20,1;20,1;20;23,5;;;;67,9;20;20;20,1;25,5;;;3,4;-0,1;-0,1;0,1;2
5;;63,9;19,8;20,2;20;20,1;;;;67;19,8;19,9;20,1;20,9;;;3,1;0;-0,3;0,1;0,8
6;;63;19,9;19,9;19,9;19,8;;;;66,1;19,8;20,2;19,8;20;;;3,1;-0,1;0,3;-0,1;0,2
7;;62;20,2;20,2;20,1;19,9;;;;65,7;20;20,1;20,2;20,2;;;3,7;-0,2;-0,1;0,1;0,3
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Column1;Column2;;;;;;;
;;;;;;;;;;;;;67,4;69,8;;;;;;;
;;;;;;;;;;;;;66,9;69,5;;;;;;;
;;;;;;;;;;;;;66,1;69,2;;;;;;;
;;;;;;;;;;;;;65,5;68,8;;;;;;;
;;;;;;;;;;;;;64,5;67,9;;;;;t-Test: Paired Two Sample for Means;;
;;;;;;;;;;;;;63,9;67;;;;;;;
;;;;;;;;;;;;;63;66,1;;;;;;Variable 1;Variable 2
;;;;;;;;;;;;;62;65,7;;;;;Mean;64,9125;68
;;;;;;;;;;;;;;;;;;;Variance;3,604107143;2,497142857
;;;;;;;;;;;;;1,898448615;1,580235064;;;;;Observations;8;8
;;;;;;;;;;;;;;;;;;;Pearson Correlation;0,987620671;
;;;;;;;;;;;;;;;;;;;Hypothesized Mean Difference;0;
;;;;;;;;;;;;;;;;;;;df;7;
;;;;;;;;;;;;;;;;;;;t Stat;-20,84343126;
;;;;;;;;;;;;;;;;;;;P(T<=t) one-tail;7,35124E-08;
;;;;;;;;;;;;;;;;;;;t Critical one-tail;1,894578605;
;;;;;;;;;;;;;;;;;;;P(T<=t) two-tail;1,47025E-07;
;;;;;;;;;;;;;;;;;;;t Critical two-tail;2,364624252;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;t-Test: Paired Two Sample for Means;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Variable 1;Variable 2;;;;;;;;;;;;
;;;;;;;Mean;64,9125;68;;;;;;;;;;;;
;;;;;;;Variance;3,604107143;2,497142857;;;;;;;;;;;;
;;;;;;;Observations;8;8;;;;;;;;;;;;
;;;;;;;Pearson Correlation;0,987620671;;;;;;;;;;;;;
;;;;;;;Hypothesized Mean Difference;0;;;;;;;;;;;;;
;;;;;;;df;7;;;;;;;;;;;;;
;;;;;;;t Stat;-20,84343126;;;;;;;;;;;t-Test: Paired Two Sample for Means;;
;;;;;;;P(T<=t) one-tail;7,35124E-08;;;;;;;;;;;;;
;;;;;;;t Critical one-tail;1,894578605;;;;;;;;;;;;Variable 1;Variable 2
;;;;;;;P(T<=t) two-tail;1,47025E-07;;;;;;;;;;;Mean;64,9125;68
;;;;;;;t Critical two-tail;2,364624252;;;;;;;;;;;Variance;3,604107143;2,497142857
;;;;;;;;;;;;;;;;;;;Observations;8;8
;;;;;;;;;;;;;;;;;;;Pearson Correlation;0,987620671;
;;;;;;;;;;;;;;;;;;;Hypothesized Mean Difference;0;
;;;;;;;;;;;;;;;;;;;df;7;
;;;;;;;;;;;;;;;;;;;t Stat;-20,84343126;
;;;;;;;;;;;;;;;;;;;P(T<=t) one-tail;7,35124E-08;
;;;;;;;;;;;;;;;;;;;t Critical one-tail;1,894578605;
;;;;;;;;;;;;;;;;;;;P(T<=t) two-tail;1,47025E-07;
;;;;;;;;;;;;;;;;;;;t Critical two-tail;2,364624252;
